feature,importance
close_pct_min_14,3.3731222522250275
cci_pct_sma,3.317557490032461
cci_pct_ema,3.3051285300683344
macd_signal_pct_sma,3.2963551465642458
roc_pct_sma,3.291968454812201
close_pct_max_14,3.280270610140082
roc_pct_ema,3.0779953793513544
macd_signal_pct_ema,3.038880711228956
macd_pct_ema,3.020359123831434
roc_pct,2.9972071395845314
macd_pct_sma,2.8985065751635264
stochrsi_k_pct_sma,2.801755651521207
cci_pct,2.7396108517005744
stochrsi_d_pct_sma,2.7375393583732195
macd_signal_pct,2.632380608872815
stochrsi_d_pct,2.6244601932094014
stochrsi_k_pct,2.3103243227435346
rsi_pct,2.2931431133813596
stochrsi_d,2.2872941910452997
rsi_pct_sma,2.284126024779934
ohlc4_pct,2.2536628876129576
macd_pct,2.2469609974362226
sma50_pct,2.207358919119152
sma50_pct_sma,2.0169033855512124
sma20_pct,1.9663345778540304
sma10_pct_sma,1.9230769230769231
stochrsi_k,1.8678777185303606
close_pct,1.84521314447813
sma20_pct_sma,1.7913543179669145
cci,1.7892828246395602
rsi_pct_ema,1.7026456625366775
rsi,1.5963902400982621
ohlc4_pct_sma,1.556666309232524
sma50_pct_ema,1.4816051392530927
sma20_pct_ema,1.4377382217326458
ohlc4_pct_ema,1.3356257859489389
ema50_pct_sma,1.2965111178265403
close_pct_sma,1.2360722536872581
ema50_pct,1.1578429174424614
ema50_pct_ema,1.127745337921488
sma10_pct_ema,1.0964292329138356
ema20_pct_sma,0.9996783092715168
ema10_pct_ema,0.9793289336439761
bias,0.9138941150093095
ema20_pct_ema,0.8813594845149781
close_pct_ema,0.8681994092588441
ema20_pct,0.780952984412622
sma10_pct,0.5672236140491114
ema10_pct,0.47388456176949395
ema10_pct_sma,0.33424154099607145
sma50_cross_below_sma20,0.05081251279451761
stochrsi_k_cross_above_d,0.03765243753838356
macd_cross_above_signal,0.03570279675969703
stochrsi_k_cross_below_d,0.0322909253969956
ema50_cross_below_ema20,0.03058498971564489
sma50_cross_above_sma20,0.030097579520973264
ema50_cross_above_close,0.02973202187496954
sma20_cross_below_sma10,0.028513496388290458
ema50_cross_below_close,0.0260764454149323
sma10_cross_above_close,0.025589035220260663
macd_cross_below_signal,0.02497977247692113
ema20_cross_below_close,0.023761246990242048
sma20_cross_below_close,0.022542721503562967
roc_cross_below_zero,0.022055311308891337
sma50_cross_below_close,0.021567901114219707
sma20_cross_above_sma10,0.02047122817620853
ema20_cross_below_ema10,0.019618260335533176
ema20_cross_above_ema10,0.019008997592193638
ema10_cross_below_close,0.018034177202850374
ema20_cross_above_close,0.018034177202850374
sma20_cross_above_close,0.017546767008178744
sma10_cross_below_close,0.016206388972831755
ema50_cross_above_ema20,0.01608453642416385
roc_cross_above_zero,0.015718978778160125
sma50_cross_above_close,0.012794517610130332
ema10_cross_above_close,0.012063402318122885
macd_hist_positive,0.004874101946716318
sma50_above_close,0.004874101946716318
sma10_above_close,0.002680756070693975
macd_positive,0.002437050973358159
sma10_below_close,0.002315198424690251
stochrsi_d_oversold,0.002071493327354435
rsi_overbought,0.001949640778686527
rsi_oversold,0.001827788230018619
cci_oversold,0.0017059356813507109
stochrsi_d_overbought,0.0015840831326828033
sma50_below_close,0.0010966729380111715
sma20_above_close,0.0008529678406753554
sma20_below_close,0.0008529678406753554
stochrsi_k_overbought,0.0008529678406753554
stochrsi_k_oversold,0.0006092627433395397
cci_overbought,0.0006092627433395397
roc_positive,0.0003655576460037238
ema50_above_close,0.0003655576460037238
ema20_above_close,0.0003655576460037238
ema10_above_close,0.00012185254866790794
ema50_below_close,0.0
roc_above_zero,0.0
roc_below_zero,0.0
ema20_below_close,0.0
ema10_below_close,0.0
